mode,hint,tag2,question,tag1,necessary_info,subtype,extra_info,cipher,archetype,vulnerability,flag,ciphertext,difficulty
,"Each ASCII character is represented as a sum of non-consecutive Fibonacci numbers, always ending in 1.",,"
A mathematician left a secret stash to her friend, hidden using her favorite sequence. Can you crack her message? Here it is: 10001000001 10001010011 10000100001 10001000011 10100000001 10001000101 10010000011 10001010001 101000101 10001010001 101010101 10001000011 10010010011 10100000101


The flag format is flag{...}",,The flag format is flag{...},fibonacci_encoding,Each character of the flag is independently encoded using Fibonacci representation.,Fibonacci Encoding,classical_cipher,,flag{hok1k6gt},10001000001 10001010011 10000100001 10001000011 10100000001 10001000101 10010000011 10001010001 101000101 10001010001 101010101 10001000011 10010010011 10100000101,not defined
,XOR is undone by XORing again with the same key. (A XOR B = C ⇒ C XOR B = A),,"An old hacker left a secret in this file, but used XOR to mask the message. Can you recover the flag from the following ciphertext? stringA: 013e2909194e02522a5719653f0b stringB: 6752486e62766430593276574f76

The flag format is flag{...}",,The flag format is flag{...},XOR,Both strings are in hex. XOR the two provided hex strings to recover the flag.,XOR,classical_cipher,,flag{8fbseo2p},stringA: 013e2909194e02522a5719653f0b stringB: 6752486e62766430593276574f76,easy
,Use a Base64 decoder to obtain the original text.,,"An agent sent you a hidden password. They warned: ""It’s secret, but readable if you decode this message."" Can you recover the password from ZmxhZ3swa2xzOTRpd30=?

The flag format is flag{...}",,The flag format is flag{...},Base64,Decoding is direct; no additional layers or tricks.,Base64,classical_cipher,,flag{0kls94iw},ZmxhZ3swa2xzOTRpd30=,easy
,The message is encoded multiple times with Base64. Decode iteratively to recover the original flag.,,"
An agent hid the next password using Base64. Can you decode their message?Vm1wSmQyVkZOVWhTYTJScFRUTkNjbFZyV21GalJteHpWV3hrYTAxWGVGaFhhMmhyWVRGYWRFOVVXbFZXVmtZelZVWkZPVkJSUFQwPQ==


The flag format is flag{...}",,The flag format is flag{...},Base64_layered,Encoded 6 times in total.,Base64,classical_cipher,,flag{ynniijng},Vm1wSmQyVkZOVWhTYTJScFRUTkNjbFZyV21GalJteHpWV3hrYTAxWGVGaFhhMmhyWVRGYWRFOVVXbFZXVmtZelZVWkZPVkJSUFQwPQ==,easy
,Use a Base85 decoder to retrieve the original text.,,"Intercepted from a hacker's chat, this Base85-encrypted string may reveal their next target: W^7?+du?|!F=}&iY<&

The flag format is flag{...}",,The flag format is flag{...},Base85,Decoding is straightforward; only one layer is used.,Base85,classical_cipher,,flag{mw31jsrl},W^7?+du?|!F=}&iY<&,easy
,The message is encoded multiple times with Base85. Decode iteratively to recover the original flag.,,"An old hacker left a cryptic message in a rare Base85 encoding. Can you decode Q8sTRJX$6xX;4yHCPX|_GgotOVpc^aK~GFEQff;wK|D%WH~ to unveil their secret?

The flag format is flag{...}",,The flag format is flag{...},Base85_layered,Encoded 5 times in total.,Base85,classical_cipher,,flag{s6ku7wpv},Q8sTRJX$6xX;4yHCPX|_GgotOVpc^aK~GFEQff;wK|D%WH~,easy
,Use the provided substitution table to restore each letter of the ciphertext to the original plaintext.,,"An old hacker left you a secret token, hidden using a substitution cipher. Crack the code in wifm{8yjcwjka} to claim your digital prize.

The flag format is flag{...}

Below is the substitution table mapping plaintext letters to ciphertext letters:
{'a': 'f', 'b': 'r', 'c': 'u', 'd': 'g', 'e': 'n', 'f': 'w', 'g': 'm', 'h': 'y', 'i': 'p', 'j': 'x', 'k': 'v', 'l': 'i', 'm': 'q', 'n': 'o', 'o': 'l', 'p': 'c', 'q': 'b', 'r': 'h', 's': 't', 't': 'e', 'u': 'j', 'v': 'd', 'w': 'z', 'x': 's', 'y': 'a', 'z': 'k'}",,"The flag format is flag{...}

Below is the substitution table mapping plaintext letters to ciphertext letters:
{'a': 'f', 'b': 'r', 'c': 'u', 'd': 'g', 'e': 'n', 'f': 'w', 'g': 'm', 'h': 'y', 'i': 'p', 'j': 'x', 'k': 'v', 'l': 'i', 'm': 'q', 'n': 'o', 'o': 'l', 'p': 'c', 'q': 'b', 'r': 'h', 's': 't', 't': 'e', 'u': 'j', 'v': 'd', 'w': 'z', 'x': 's', 'y': 'a', 'z': 'k'}",substitution_direct,Letters outside [a-zA-Z] are left unchanged. Case is preserved by converting letters back to uppercase if needed.,Substitution,classical_cipher,,flag{8hupfuzy},wifm{8yjcwjka},not defined
,"Atbash reverses the alphabet (A ↔ Z, B ↔ Y, etc.).",,"An archaeologist found an encrypted scroll from an ancient order. Decipher uozt{t5khu52i} to reveal the secret message hidden by their simplest code.

The flag format is flag{...}",,The flag format is flag{...},atbash,,Atbash,classical_cipher,,flag{g5psf52r},uozt{t5khu52i},easy
,Hex encoding represents bytes as pairs of 0-9 and a-f.,,"The hacker left a coded message in hex at the breach site. Can you decode 666c61677b397278663978666f7d to reveal the secret?

The flag format is flag{...}",,The flag format is flag{...},hex,,Hex,classical_cipher,,flag{9rxf9xfo},666c61677b397278663978666f7d,easy
,The ASCII values of each character have been shifted by some small amount (1–10).,,"An anonymous hacker left a message at the block height milestone. The clue: “ASCII shift holds the key.” Can you decrypt it? Ciphertext: hnci}rw{kp689

The flag format is flag{...}",,The flag format is flag{...},ascii_shift,Shift used: 2,ASCII Shift,classical_cipher,,flag{puyin467},hnci}rw{kp689,easy
,Numbers are used to break up the flag. The original flag uses only letters.,,"An infamous hacker hid the vault code using their custom SplitNumberMix cipher. Can you decrypt  7777777 flag{kftyjk 7777777 ud 7777777 } 7777777  to access the secret?

The flag format is flag{...}",,The flag format is flag{...},split_flag,Split into 3 parts with numeric sequences of length 2–5 randomly inserted.,SplitNumberMix,classical_cipher,,flag{kftyjkud}, 7777777 flag{kftyjk 7777777 ud 7777777 } 7777777 ,easy
,The original message has simply been reversed.,,"A rogue AI scrambled the password backwards before escaping. Recover the secret hidden in }0btm1stv{galf to regain access to the control panel.

The flag format is flag{...}",,The flag format is flag{...},reversed_flag,Reverse the entire string to get the original flag.,Reverse,classical_cipher,,flag{vts1mtb0},}0btm1stv{galf,easy
,The flag is split into parts of 2–3 letters with spaces.,,"A mysterious hacker split the flag into chunks and encrypted it using their experimental ""ChunkedFlag"" cipher. Can you recover the flag from this ciphertext? fla g{5 bq 2m4 js}

The flag format is flag{...}",,The flag format is flag{...},chunked_flag,Remove the spaces to recover the original flag.,ChunkedFlag,classical_cipher,,flag{5bq2m4js},fla g{5 bq 2m4 js},easy
,Small primes are easily factorable with typical factoring algorithms.,,"Rushed for a deadline, I used tiny primes to encrypt my secret. Now my message is at risk—can you recover it from 7058714751825026767?

The flag format is flag{...}
n=11162044824386274989, e=7241223208925513785",,"The flag format is flag{...}
n=11162044824386274989, e=7241223208925513785",small_primes,"p=3346852063, q=3335087603, φ(n)=11162044817704335324",RSA,rsa,small primes,flag{70wdtrsm},7058714751825026767,not defined
,The RSA modulus n is a perfect square. This often indicates a repeated prime usage vulnerability.,,"
The rushed intern reused primes generating RSA keys for Alice and Bob. Crack their secret message: 5625504335389679725259616905633615745099315507958600955464423634589695320756083433672343259310360584841735953687403189574000625699551759094745425198462275


The flag format is flag{...}
n=8421319253453840379396093934989959965438902561071871098023785532379492223491137192149177502087271838673575523603290179571094267835818114436415927457091929, e=163967752212418854832671099667422412514888154750146596509922315147787424592644682423727997074140355295471545115495449926260662877021507584837016329521269",,"The flag format is flag{...}
n=8421319253453840379396093934989959965438902561071871098023785532379492223491137192149177502087271838673575523603290179571094267835818114436415927457091929, e=163967752212418854832671099667422412514888154750146596509922315147787424592644682423727997074140355295471545115495449926260662877021507584837016329521269",repeated_prime_usage,"p=91767746258987097233061480020347882605367963378302682314793224117919031652827, q=91767746258987097233061480020347882605367963378302682314793224117919031652827, φ(n)=8421319253453840379396093934989959965438902561071871098023785532379492223490953656656659527892805715713534827838079443644337662471188527988180089393786276",RSA,rsa,repeated primes,flag{q8kdy5aq},5625504335389679725259616905633615745099315507958600955464423634589695320756083433672343259310360584841735953687403189574000625699551759094745425198462275,not defined
,A partial exposure of a prime number's bits can significantly weaken RSA security. Look into lattice-based techniques like Coppersmith's attack.,,"An intern left half the RSA private key on a sticky note. Can you recover the message? The encrypted flag is: 3379266087547663839581836789071202303876328540530270845583209096045296737192647439116170326156466408948192979502987816630286002294820079232818593697934215

The flag format is flag{...}
n=10486515752840315517151825668877642998538066170580497852073885205142613159249748704398289723051066084721583553972455440720734697804946153133799399673577333, e=4977499213886991666462196373484393356923104804705178167744067705312244743653332262072129143647183569274404595366018625378103566144317942560577781615751093, partial_p=16208646373216608638",,"The flag format is flag{...}
n=10486515752840315517151825668877642998538066170580497852073885205142613159249748704398289723051066084721583553972455440720734697804946153133799399673577333, e=4977499213886991666462196373484393356923104804705178167744067705312244743653332262072129143647183569274404595366018625378103566144317942560577781615751093, partial_p=16208646373216608638",partial_key_exposure,"p=101743322277587003374877541276536872642473128274583826349129313051726037491763, q=103068344124146867633427865879713708173403810614476591376145120543199976446391, φ(n)=10486515752840315517151825668877642998538066170580497852073885205142613159249543892731887989180057779314427303391639563781845637387220878700204473659639180",RSA,rsa,partial key exposure,flag{35wv4osr},3379266087547663839581836789071202303876328540530270845583209096045296737192647439116170326156466408948192979502987816630286002294820079232818593697934215,not defined
,"When two RSA moduli share a common factor, computing GCD(n1, n2) can reveal the shared prime factor.",,"Two users reused a prime when generating their RSA keys, making both public. Can you recover the secret message? Ciphertext: ciphertext1: 36373509744576275772707022992604201602007286212025985712483054591591195056398912505299429976839637615750077536831609172001873381354662500715457997819401971399290020997507898670327759779458510923142067355810019731219795862803616218, ciphertext2: 259648862759915548010352812386330552017864734131855256137053659306374022563030923624775245912266241220057780148769640740944691920614463152807934048342469563047948466011841934591432261751193018549488319206609516798597618812213927439

The flag format is flag{...}
n1=567766937898480499377388176040427065677319931679322912155532736500964033638985231624099310790798924017004785975860338762319069916138302949218449034234081973815622387676035449131479853775461434100604440458453118818582376787723921701, n2=691115753537240994274977663484900269278994395724614009006402231788848880831825526806770107269765223963423261106583714383803568628374804677215973226589601357265374374792400560518902778493839589800190039349636930983174756691567426357, e=478971369930084701353495443100704440411782150868299758752433099308814975819877892034898396172237727895287803204138891691230328272970070463862057443632106899880409208782624448521758143614353913673488885950630559834126261165240146725",,"The flag format is flag{...}
n1=567766937898480499377388176040427065677319931679322912155532736500964033638985231624099310790798924017004785975860338762319069916138302949218449034234081973815622387676035449131479853775461434100604440458453118818582376787723921701, n2=691115753537240994274977663484900269278994395724614009006402231788848880831825526806770107269765223963423261106583714383803568628374804677215973226589601357265374374792400560518902778493839589800190039349636930983174756691567426357, e=478971369930084701353495443100704440411782150868299758752433099308814975819877892034898396172237727895287803204138891691230328272970070463862057443632106899880409208782624448521758143614353913673488885950630559834126261165240146725",common_factors,"p=25892706047968059154556747696267518210972583543955561400812842588414354605956365102102438011852190698247630542771667, q=21927678661575669696972372087705487231453979330502679199437567367129848920287466558923560041801849510960139655320103, r=31517962489494959420842249363508137837451804228205730078560011688010100335079930912438180737290120665632029694954819, φ(n1)=567766937898480499377388176040427065677319931679322912155532736500964033638985231624099310790798924017004785975860290941934360372409451420098665061228639547252747929435435198721524309571935190268943414460399464778373169017525829932, φ(n2)=691115753537240994274977663484900269278994395724614009006402231788848880831825526806770107269765223963423261106583660938162417557745686862594522012964532451481815666383122562939847638544584222402718677608857839012998164522217151436",RSA,rsa,common factors,flag{8zaqosm3},"ciphertext1: 36373509744576275772707022992604201602007286212025985712483054591591195056398912505299429976839637615750077536831609172001873381354662500715457997819401971399290020997507898670327759779458510923142067355810019731219795862803616218, ciphertext2: 259648862759915548010352812386330552017864734131855256137053659306374022563030923624775245912266241220057780148769640740944691920614463152807934048342469563047948466011841934591432261751193018549488319206609516798597618812213927439",not defined
,"When two RSA moduli share a common prime, computing GCD(n, n2) can reveal the shared prime factor.",,"Two users reused a prime when creating their RSA keys. Can you recover the flag from the ciphertext? 290157052544743994078006798513715304669129781451967014178084023645041201579153196273794744882279305042681563730283149269088341504318459694151950388512870142336166741713289852096158697326528540288182176697083269324500100678224697622

The flag format is flag{...}
n=717815200639399939588132852013549275850725004986500172255281734903393148642701942865349536523469186246389824701372064452684300416617702418888723200801765434165760104618172743122445261981553634671321233378307473335630740611528809457, n2=871352701319447911818747153272858541967590629678094646526610474406632443235374627923772254958810860544916794966376304322972961910072975786509334198654136351750980030075368454848430961583008654700429786140089207544324680186525602311, e=173105751678580150160964278332096026023830854179974941626456447397048763643367667234878081990288688585913932852280388413548297608205786096540506720402264732455454196290952931915529158335198189322238034054404646114341417234105474421",,"The flag format is flag{...}
n=717815200639399939588132852013549275850725004986500172255281734903393148642701942865349536523469186246389824701372064452684300416617702418888723200801765434165760104618172743122445261981553634671321233378307473335630740611528809457, n2=871352701319447911818747153272858541967590629678094646526610474406632443235374627923772254958810860544916794966376304322972961910072975786509334198654136351750980030075368454848430961583008654700429786140089207544324680186525602311, e=173105751678580150160964278332096026023830854179974941626456447397048763643367667234878081990288688585913932852280388413548297608205786096540506720402264732455454196290952931915529158335198189322238034054404646114341417234105474421",shared_prime,"p=23308168289977479896084169309164004009504220623883997622232160611330356731874550698796124401585550025391601077244321, q=30796722921726145001529726374121090091760083563672843984060534153437616634253115786739012180410169845567807028136017, q2=37384005919252344797482957667796005543264258200111567723900174661419786265748096417539935317210803495891661896897191, φ(n)=717815200639399939588132852013549275850725004986500172255281734903393148642701942865349536523469186246389824701372010347793088712992804804993039915707664169861572547776566450427680494008187507004835698241725477615759781203423429120, φ(n2)=871352701319447911818747153272858541967590629678094646526610474406632443235374627923772254958810860544916794966376243630798752680248282219382357238644583583272156034510022322513158211440011032053313450080370411190803396923551460800",RSA,rsa,shared prime,flag{2xtnul2m},290157052544743994078006798513715304669129781451967014178084023645041201579153196273794744882279305042681563730283149269088341504318459694151950388512870142336166741713289852096158697326528540288182176697083269324500100678224697622,not defined
,Blum integers are products of primes congruent to 3 modulo 4. These integers have unique properties in cryptography.,,"
A careless developer used RSA with moduli from the product of two Blum primes. Can you decrypt the secret flag? Ciphertext: 6295944943530420469506115953237900485534431502170884485035771134300841353627805372662138193836828755065356672613272622701935072218460385539420184822824328


The flag format is flag{...}
n=8260914706619691124600249442124353289639389212317031461524766559441633695002248002131007385979598149353213201812216870547540732287807642758724435286725053, e=1966311492499037109183881294915144358343595440335388484110598753541060327258359508952391286751034938070844030421852269411844571660682670930229473623424663
The lower 104 bits of p are: 41103455070156378700321134379383145411
",,"The flag format is flag{...}
n=8260914706619691124600249442124353289639389212317031461524766559441633695002248002131007385979598149353213201812216870547540732287807642758724435286725053, e=1966311492499037109183881294915144358343595440335388484110598753541060327258359508952391286751034938070844030421852269411844571660682670930229473623424663
The lower 104 bits of p are: 41103455070156378700321134379383145411
",blum_integers,"p=79885240978105172410479239531001944279649541819516574726532645445363383944131, q=103409773889069575379671866159071395717709027190545914853729223555206506740863, φ(n)=8260914706619691124600249442124353289639389212317031461524766559441633695002064707116140211231807998247523128472219511978530669798227380889723865396040060",RSA,rsa,blum integers,flag{111xmg4g},6295944943530420469506115953237900485534431502170884485035771134300841353627805372662138193836828755065356672613272622701935072218460385539420184822824328,not defined
,AES-GCM with nonce reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,b223b0a73d473805874a64a337ff2053,"When two spies rush to encrypt secret reports, they accidentally reuse the nonce with AES-GCM. Can you exploit their slip with the ciphertext below? ciphertext1:0b4f7d61e94f77b655eb03056659, ciphertext2: 194b7575b24966ee5eed061030044593fc83

The flag format is flag{...}",392dc25c2adfb5da2e9bedbb1229cf66,The flag format is flag{...},aes_gcm,The nonce used for both encryptions is: 518c0645293c866b8fb70546,AES-GCM,aes,nonce reuse,flag{obxeiq57},"ciphertext1:0b4f7d61e94f77b655eb03056659, ciphertext2: 194b7575b24966ee5eed061030044593fc83",not defined
CCM,AES-CCM with nonce reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,adab196ee7940fddb5346ce4a8245ba7,"
A rogue agent stole secret plans, encrypting them with AES. Can you crack the password and recover the hidden blueprint? Ciphertext: ciphertext1:a933791fbe10c6b561531223210a, ciphertext2: a933791fbe55d1aa61471b20200a


The flag format is flag{...}",5a2c9004efa44d16c53b4315d95a2863,The flag format is flag{...},aes_ccm,The nonce used for both encryptions is: d182436dba0a9e22bcf481,AES,aes,,flag{5zvvqyo3},"ciphertext1:a933791fbe10c6b561531223210a, ciphertext2: a933791fbe55d1aa61471b20200a",not defined
,AES-XTS with tweak reuse is vulnerable. Exploit the relationship between the ciphertexts to recover the flag.,,"Your secret storage drive encrypts data with AES-XTS. Someone leaked this fragment: ciphertext1:e47517876e4d5dfcc100e6388b4ca8d4, ciphertext2: bcbda9aba869b94dbb1732e0f023cd1d98a2119425d1ed0f0538b6139845fc99. Can you recover the original plaintext?

The flag format is flag{...}",,The flag format is flag{...},aes_xts,The tweak used for both encryptions is: 2c922cf8ee8624ce3eedbbbdfb505855,AES-XTS,aes,,flag{mwhyrj97},"ciphertext1:e47517876e4d5dfcc100e6388b4ca8d4, ciphertext2: bcbda9aba869b94dbb1732e0f023cd1d98a2119425d1ed0f0538b6139845fc99",not defined
